solvent_name_1,solvent_name_2,solvent_name_3,cas_number,chemical_formula,smiles,source
methyl decanoate,decanoicacidmethylester,,110-42-9,C11H22O2,CCCCCCCCCC(=O)OC,https://doi.org/10.1039/C9SC01844A
methyl dodecanoate,dodecanoicacidmethylester,,111-82-0,C13H26O2,CCCCCCCCCCCC(=O)OC,https://doi.org/10.1039/C9SC01844A
methyl formate,methylformate,,107-31-3,C2H4O2,COC=O,https://doi.org/10.1039/C9SC01844A
methyl hexanoate,methylhexanoate,,106-70-7,C7H14O2,CCCCCC(=O)OC,https://doi.org/10.1039/C9SC01844A
methyl octanoate,methyloctanoate,,111-11-5,C9H18O2,CCCCCCCC(=O)OC,https://doi.org/10.1039/C9SC01844A
methyl pentanoate,methylvalerate,,624-24-8,C6H12O2,CCCCC(=O)OC,https://doi.org/10.1039/C9SC01844A
methyl propanoate,methylpropionate,,554-12-1,C4H8O2,CCC(=O)OC,https://doi.org/10.1039/C9SC01844A
methyl thiocyanate,methylthiocyanate,,556-64-9,C2H3NS,CSC#N,https://doi.org/10.1039/C9SC01844A
methyl trichloroacetate,methyltrichloroacetate,,598-99-2,C3H3Cl3O2,COC(=O)C(Cl)(Cl)Cl,https://doi.org/10.1039/C9SC01844A
methylbutane,,,78-78-4,C5H12,CCC(C)C,https://doi.org/10.1039/C9SC01844A
methylcyclohexane,,,108-87-2,C7H14,CC1CCCCC1,https://doi.org/10.1039/C9SC01844A
methylcyclopentane,,,96-37-7,C6H12,CC1CCCC1,https://doi.org/10.1039/C9SC01844A
methylsulfanylbenzene,methylthiobenzene,,100-68-5,C7H8S,CSc1ccccc1,https://doi.org/10.1039/C9SC01844A
morpholine,,,110-91-8,C4H9NO,C1COCCN1,https://doi.org/10.1039/C9SC01844A
N-methylacetamide,n-methylacetamide,,79-16-3,C3H7NO,CNC(C)=O,https://doi.org/10.1039/C9SC01844A
N-methylaniline,n-methylaniline,,100-61-8,C7H9N,CNc1ccccc1,https://doi.org/10.1039/C9SC01844A
N-methylcyclohexylamine,n-methylcyclohexanamine,,100-60-7,C7H15N,CNC1CCCCC1,https://doi.org/10.1039/C9SC01844A
N-methylformamide,methylformamide,,123-39-7,C2H5NO,CNC=O,https://doi.org/10.1039/C9SC01844A
N-methylpiperidine,n-methylpiperidine,,626-67-5,C6H13N,[H+].[Cl-].CN1CCCCC1,https://doi.org/10.1039/C9SC01844A
