,stenutz_name,cosmo_name,other_name,cas_number,chemical_formula,smiles
45,"1,4-dibromobenzene","1,4-dibrombenzene",,106-37-6,C6H4Br2,Brc1ccc(Br)cc1
46,"1,4-dibromobutane","1,4-dibromobutane",,110-52-1,C4H8Br2,BrCCCCBr
47,"1,4-dichlorobenzene","1,4-dichlorobenzene",,106-46-7,C6H4Cl2,Clc1ccc(Cl)cc1
48,"1,4-dichlorobutane","1,4-dichlorobutane",,110-56-5,C4H8Cl2,ClCCCCCl
49,"1,4-difluorobenzene",p-difluorobenzene,,540-36-3,C6H4F2,Fc1ccc(F)cc1
50,"1,4-dimethylbenzene","1,4-dimethylbenzene",,106-42-3,C8H10,Cc1ccc(C)cc1
51,"1,5-dichloropentane","1,5-dichloro-pentane",,628-76-2,C5H10Cl2,ClCCCCCCl
52,1-bromo-2-chloroethane,1-bromo-2-chloroethane,,107-04-0,C2H4BrCl,ClCCBr
53,1-bromo-2-methylpropane,isobutylbromide,,78-77-3,C4H9Br,CC(C)CBr
54,1-bromo-3-methylbutane,1-bromo-3-methylbutane,,107-82-4,C5H11Br,CC(C)CCBr
55,1-bromobutane,1-bromobutane,,109-65-9,C4H9Br,CCCCBr
56,1-bromododecane,1-bromododecane,,143-15-7,C12H25Br,CCCCCCCCCCCCBr
57,1-bromoheptane,"pyrido(2,3-b)pyrazine",,629-04-9,C7H15Br,CCCCCCCBr
58,1-bromohexane,1-bromohexane,,111-25-1,C6H13Br,CCCCCCBr
59,1-bromonaphthalene,1-bromonaphthalene,,90-11-9,C10H7Br,Brc1cccc2ccccc12
60,1-bromooctane,1-bromooctane,,111-83-1,C8H17Br,CCCCCCCCBr
61,1-bromopentane,1-bromopentane,,110-53-2,C5H11Br,CCCCCBr
62,1-bromopropane,1-bromopropane,,106-94-5,C3H7Br,CCCBr
63,"1-chloro-2,3-epoxypropane",(chloromethyl)-oxirane,,106-89-8,C3H5ClO,ClCC1CO1
64,1-chloro-2-methylbenzene,1-chloro-2-methylbenzene,,95-49-8,C7H7Cl,Cc1ccccc1Cl
